# tensor-level manifest for dv4_proj_weights.safetensors
# tensors: 334   header_bytes: 32015
# __metadata__: {"model": "<ABSOLUTE_MODEL_PATH>"}
# NOTE: __metadata__ is machine-specific (absolute model path) and is EXCLUDED
#       from the hashes below. Compare these, not the file hash.
# name	dtype	shape	nbytes	sha256(raw bytes)
layer_0.kv_norm.weight	BF16	(512,)	1024	9dfca99650e16907bacbd3db10b11157439b907942224d0caed76e697a6a63da
layer_0.wkv.weight	BF16	(512, 4096)	4194304	3cb2325a13922e0fbd9125a7834ee26ef3e72c26d25e7c907ab5d003abaf1342
layer_1.kv_norm.weight	BF16	(512,)	1024	0556fe218d8955600a622c9034acd55af8d2900af12e0d17f9aa48799d1e103a
layer_1.wkv.weight	BF16	(512, 4096)	4194304	31cc64bf69561cd670e813801b8b4a5bd5ab44243ae9df89c759f120ad502b1d
layer_10.comp.ape	F32	(4, 1024)	16384	21fb6ec0a30148e489745c06128757742d18d8b0c4fb36abc7ee545aea264421
layer_10.comp.norm.weight	BF16	(512,)	1024	43dc4406a9dd6addbf55f1c524d9a19d9fb2cfee347c3dddafec4c8e8ad37dea
layer_10.comp.wgate.weight	BF16	(1024, 4096)	8388608	1d033b11acf09b07e0ba8ec060fd2e15882caf5c2e5da6c7b0bb6e1fe6da39be
layer_10.comp.wkv.weight	BF16	(1024, 4096)	8388608	0fa634df9f4bc64a94500989a1424fb6952765b71013836e5a6253097b8bca05
layer_10.idx.ape	F32	(4, 256)	4096	18ac3e3568157e92efdec6138f236c9c62f7ff29371eb8c4e21abd758223a938
layer_10.idx.norm.weight	BF16	(128,)	256	79385e128834f58ff28a088f5a280c72d2b6f576904ccef7042fbe8a03889398
layer_10.idx.wgate.weight	BF16	(256, 4096)	2097152	083c30925f558e7d1be336b2898c7e21362c89f83453c81e34517203b5b93a6f
layer_10.idx.wkv.weight	BF16	(256, 4096)	2097152	76828dc72443a7bcb2fb8d80dd514e4b2343e437bb277b46a3b13429bd4892cb
layer_10.kv_norm.weight	BF16	(512,)	1024	af8f239ae379178f8e61834afd5c7a7bd05ceaf1fa891839014bac5317eb365a
layer_10.wkv.weight	BF16	(512, 4096)	4194304	c4e1b709644ae3c2e249d6e04acc5ba7858637cabab13e34a9114038a059aa32
layer_11.comp.ape	F32	(128, 512)	262144	f8613bd6a2e8f5fce7b6974df7719e6bd9677a304c97146e41e8dfed0cc2389a
layer_11.comp.norm.weight	BF16	(512,)	1024	16df0d7df8b82121867049d6391be7609b1cac89c6d9d1878f6771686387a862
layer_11.comp.wgate.weight	BF16	(512, 4096)	4194304	73a83627f870b352178b9500d97c61278a46bb71ad30d8a77c8bad89da9a4fa5
layer_11.comp.wkv.weight	BF16	(512, 4096)	4194304	4b59e5250e372de8c7ed4d7aeba568e29a5090835cdbed621fa091fa6614ae81
layer_11.kv_norm.weight	BF16	(512,)	1024	1566c4ea0b6c70c9d39992240ad213f95378a184dff389a50c98f3d864d0c389
layer_11.wkv.weight	BF16	(512, 4096)	4194304	8f321a4686c44a4c9ea9602ecfbe9e63bc61f6cb772c38989bc4274454480bbf
layer_12.comp.ape	F32	(4, 1024)	16384	a82daab18046b40ba61b474a728ca6faaf0c7b425ff60e4d5c4564095223ff5d
layer_12.comp.norm.weight	BF16	(512,)	1024	53f9a839f88843e31c77db2a4aa532514e436ea51776899fd060692581ba3b46
layer_12.comp.wgate.weight	BF16	(1024, 4096)	8388608	4bf145e900d981a976d05be566a97e019610987581a5faa0bda9a920d923e96b
layer_12.comp.wkv.weight	BF16	(1024, 4096)	8388608	50a3476661b92e9a86011fa7305fe8a8627ac0c620eac4e93c12143deb1e030f
layer_12.idx.ape	F32	(4, 256)	4096	47e077242a71c1b71e1bb3185d66c8828bddd08ee5cf6458060855abe60b097c
layer_12.idx.norm.weight	BF16	(128,)	256	100a909901d155c73a5333154872d920a6d30444bc5df15f742d47eae68c2666
layer_12.idx.wgate.weight	BF16	(256, 4096)	2097152	4009b1a8e5b16d0cfc067bf75d3221b248027a70eb517524518029d30ca8c1a9
layer_12.idx.wkv.weight	BF16	(256, 4096)	2097152	927eac7a8d13f945a07c6a55343008f1a1764a3c634b460dd382dd8703ecbf6d
layer_12.kv_norm.weight	BF16	(512,)	1024	920ce5ccadc94559c9d3a93f59edc039df6dc01eaf25b836218cce81109a55a5
layer_12.wkv.weight	BF16	(512, 4096)	4194304	60536e4e57d34439bac240c68232b3610821d4d732526e4dff528cbbe781916c
layer_13.comp.ape	F32	(128, 512)	262144	aabce527391790ce3f50f2523025b187822e54d713b73297751cfcdd1914c240
layer_13.comp.norm.weight	BF16	(512,)	1024	f0817491b578741c380e1540786ce6be12c5d96588387f8ce3d2aaff90cea1c0
layer_13.comp.wgate.weight	BF16	(512, 4096)	4194304	eafaa6123b105e940b502abfc9ea1ab7d67d80dd70cc4384475fd5667a2267c8
layer_13.comp.wkv.weight	BF16	(512, 4096)	4194304	60fec1508cb0d1830c1ad8c9bfd1ff018d256a7b48d4c16b0b812b8527508c01
layer_13.kv_norm.weight	BF16	(512,)	1024	4d2e2e5dd20f54e840cee3df8d26a0df6f0c2264d37b46b6a0292aee5fef9812
layer_13.wkv.weight	BF16	(512, 4096)	4194304	ac52c3832351cba9eeb2d7fe4ef6a9ee615b65a5a84a2dbe290ec884f9997617
layer_14.comp.ape	F32	(4, 1024)	16384	101ac101b6c160e046311df1baef8fa635561263f3b5dfa290215c25ecafa0e1
layer_14.comp.norm.weight	BF16	(512,)	1024	494f2e8a76b89c41f8160a51ee0a8d6d6890708fe2a1989434698b0a8606d38b
layer_14.comp.wgate.weight	BF16	(1024, 4096)	8388608	67e693db34139d9f264238884752e81e49687926918dd101d7f6602597748444
layer_14.comp.wkv.weight	BF16	(1024, 4096)	8388608	32e9b2bdb2ecf781f8093cded2a02baa67455d24e8595fb3a09d56537fe40bd1
layer_14.idx.ape	F32	(4, 256)	4096	a7d07b96b24ee894549bc191278c7bebc16d07aa06fd2aa55757cc13ad7df2b0
layer_14.idx.norm.weight	BF16	(128,)	256	06d7348d1d9923efc50049cde59a02ef09e9f6fe1a1f9f7603f10a77cc9ccf3b
layer_14.idx.wgate.weight	BF16	(256, 4096)	2097152	c1262726c395c32674db0bb595678e237ed472de417aabe466160f6a49f355c6
layer_14.idx.wkv.weight	BF16	(256, 4096)	2097152	64ac2fe63c79c472404b9abeddb61fe6983a23fd0c637546b8d9aefc70d108fe
layer_14.kv_norm.weight	BF16	(512,)	1024	2db85fde0a0285be04dfad6df8ac0d7ff53a15760fc843983579c670806af2ea
layer_14.wkv.weight	BF16	(512, 4096)	4194304	60e2f39126ecfcb736025125d1da6f4f733f387353ac350bcf0897bdd6d50f60
layer_15.comp.ape	F32	(128, 512)	262144	baeab096a8fbdc776e9a9edcd5847f8cac2b89fd94b2e707148798c6a858f0d3
layer_15.comp.norm.weight	BF16	(512,)	1024	193d9891ad6cc78dcd3e87d968a034b3b152af402d467710b3c52c732cf92f95
layer_15.comp.wgate.weight	BF16	(512, 4096)	4194304	d64b5ec44b00e296f6aa99dbb70497832179431cb4406be93822b44b8758b421
layer_15.comp.wkv.weight	BF16	(512, 4096)	4194304	02bff51de50ee11bf665fce0eec493d53f0736f7ea1eb94ee13a4bf29e266270
layer_15.kv_norm.weight	BF16	(512,)	1024	cf5284392799e17a2a29a414f705195955354b4247940bfe974327b06696395f
layer_15.wkv.weight	BF16	(512, 4096)	4194304	2eca65cfe2e1b4f7a4b31e5cfffb513091909179fd5e83211ca78fc08e254e66
layer_16.comp.ape	F32	(4, 1024)	16384	d57c00cc01958ed1bf9e1aa087b2887f0321b721532d7392deb4d098b8bcfe97
layer_16.comp.norm.weight	BF16	(512,)	1024	54aa06afca18cdd7e3734194e7bb1cbe636157a09f5238f4a5bfa6b678dfa95a
layer_16.comp.wgate.weight	BF16	(1024, 4096)	8388608	339aeae6a8a9681f8f3b7150734e422b67cc16108d9bf99e03ca9047ebd9e0a7
layer_16.comp.wkv.weight	BF16	(1024, 4096)	8388608	0d77765675859f276541320fd672e1c1739ad265c847a5cbcc150523ddcce3fb
layer_16.idx.ape	F32	(4, 256)	4096	0808680e6c205886cb8ebd5225647ef3bd9e5e9a7aea7f3fb5830c9236085421
layer_16.idx.norm.weight	BF16	(128,)	256	bc3b20f702117a39de5855fda04364760aaa2544a845add1e6d95f63e2ddf2fb
layer_16.idx.wgate.weight	BF16	(256, 4096)	2097152	0a47b15742282494f9e7a7a671720c9cbd8e80dd5c54d27e990f1bfb69a9d691
layer_16.idx.wkv.weight	BF16	(256, 4096)	2097152	c6175b0d7dca1778be13e765bc666a36d794676e202f3272c2fe21329d187737
layer_16.kv_norm.weight	BF16	(512,)	1024	7289b695e4b74771d146b4b7762a71dfe148502077e5754e254794b78dd37f07
layer_16.wkv.weight	BF16	(512, 4096)	4194304	f560d28ea97a325343722eae854abd8700031fe7bd2d6989da27996bcbb59d1c
layer_17.comp.ape	F32	(128, 512)	262144	b6e5f80ab824c52c21b968d9e81530a4c761547080460383138298e110264c3d
layer_17.comp.norm.weight	BF16	(512,)	1024	a61087ee88450983a9269372c0556273295785ceccf04d3e65e8a7ed957d8840
layer_17.comp.wgate.weight	BF16	(512, 4096)	4194304	ee1521987c98d4a0c65893f6001085fd2b779c0163ef69b4e3a0a8514d7b455c
layer_17.comp.wkv.weight	BF16	(512, 4096)	4194304	754600bc51d60a206c3bc95eca5c18be4a15e4367630aa19c13a8e4bf97c0305
layer_17.kv_norm.weight	BF16	(512,)	1024	e665884da20da34dceba36ead95cc367f3a7a7519a9d48ea8286bbe01d290b39
layer_17.wkv.weight	BF16	(512, 4096)	4194304	47da3d75082939d3555b93b46c579ba5ee35a3a4441b7476db47100930fa0463
layer_18.comp.ape	F32	(4, 1024)	16384	00e8373d26db6d7ae5ec2f02f7782b79cd1fea91e58f8564b54c66302b02ce69
layer_18.comp.norm.weight	BF16	(512,)	1024	18fd8d599e421d359488344ab07217da9478e08787f2c6ffa9e52ddbedd6b5d8
layer_18.comp.wgate.weight	BF16	(1024, 4096)	8388608	afe653c593bb63b0e8784a41ca69134c1cff1b5fb1de28e01b1d6c9da5f4822d
